iter	Passed	Remaining
668	147073	72767
669	147312	72556
670	147523	72332
671	147726	72104
672	147920	71872
673	148117	71641
674	148318	71412
675	148510	71179
676	148709	70950
677	148908	70720
678	149108	70491
679	149312	70264
680	149527	70042
681	149723	69812
682	149948	69595
683	150233	69405
684	150462	69190
685	150703	68980
686	150932	68765
687	151171	68554
688	151433	68353
689	151640	68128
690	151880	67917
691	152228	67755
692	152550	67580
693	152853	67396
694	153212	67236
695	153528	67058
696	153836	66875
697	154153	66696
698	154410	66491
699	154622	66266
700	154831	66040
701	155064	65824
702	155359	65635
703	155562	65406
704	155779	65184
705	155978	64954
706	156177	64724
707	156371	64492
708	156573	64263
709	156775	64035
710	157051	63836
711	157319	63634
712	157583	63431
713	157807	63211
714	158114	63024
715	158322	62798
716	158522	62568
717	158730	62342
718	158937	62115
719	159148	61891
720	159379	61673
721	159624	61462
722	159847	61241
723	160063	61018
724	160274	60793
725	160510	60578
726	160711	60349
727	160931	60128
728	161134	59900
729	161332	59670
730	161520	59437
731	161738	59215
732	161944	58989
733	162151	58763
734	162352	58535
735	162555	58308
736	162759	58081
737	162958	57852
738	163160	57624
739	163423	57419
740	163687	57213
741	163960	57010
742	164167	56784
743	164367	56556
744	164573	56330
745	164780	56104
746	164983	55877
747	165179	55648
748	165383	55422
749	165580	55193
750	165786	54967
751	165990	54741
752	166189	54513
753	166391	54286
754	166592	54059
755	166801	53835
756	167085	53635
757	167295	53410
758	167500	53185
759	167732	52968
760	168022	52769
761	168242	52548
762	168444	52321
763	168648	52095
764	168861	51872
765	169066	51646
766	169275	51422
767	169480	51197
768	169760	50994
769	170042	50792
770	170241	50564
771	170481	50349
772	170790	50154
773	171043	49942
774	171289	49729
775	171496	49504
776	171701	49278
777	171907	49053
778	172182	48847
779	172384	48621
780	172586	48394
781	172786	48168
782	172988	47941
783	173199	47718
784	173400	47491
785	173617	47269
786	173825	47045
787	174033	46821
788	174236	46595
789	174443	46371
790	174641	46144
791	174842	45918
792	175047	45693
793	175258	45470
